"nro","varcode","russian"
1320,"qh5122.4","Оцените Ваши затраты в рублях: Плата за подготовит.курсы в других учебных заведениях"
1321,"qh5112.5","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 2-го учащегося в учебное заведение? Плата за занятия с репетиторами для подготовки к поступлению"
1322,"qh5122.5","Оцените Ваши затраты в рублях: Плата за занятия с репетиторами для подготовки к поступлению"
1323,"qh5112.6","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 2-го учащегося в учебное заведение? Другое"
1324,"qh51126s","Другие расходы к h5112.6; какие именно:"
1325,"qh5122.6","Оцените Ваши затраты в рублях: Другое"
1326,"qh511.3","0 - НЕ БЫЛО РАСХОДОВ; СВЯЗАННЫХ С ПОСТУПЛЕНИЕМ 3-ГО УЧАЩЕГОСЯ В УЧЕБНОЕ ЗАВЕДЕНИЕ"
1327,"qh5113.1","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 3-го учащегося в учебное заведение? Вступительный взнос; кот. требуется для поступления в это учебное заведение; в т.ч. в виде добров.пожертвов. или в неденежной форме"
1328,"qh5123.1","Оцените Ваши затраты в рублях: Вступительный взнос; кот. требуется для поступления в это учебное заведение; в т.ч. в виде добров.пожертвов. или в неденежной форме"
1329,"qh5113.2","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 3-го учащегося в учебное заведение? Плата за подготовительные курсы в том учебном заведении; в котором он/она учится"
1330,"qh5123.2","Оцените Ваши затраты в рублях: Плата за подготовительные курсы в том учебном заведении; в котором он/она учится"
1331,"qh5113.3","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 3-го учащегося в учебное заведение? Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
1332,"qh5123.3","Оцените Ваши затраты в рублях : Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
1333,"qh5113.4","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 3-го учащегося в учебное заведение? Плата за подготовит.курсы в других учебных заведениях."
1334,"qh5123.4","Оцените Ваши затраты в рублях : Плата за подготовит.курсы в других учебных заведениях"
1335,"qh5113.5","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 3-го учащегося в учебное заведение? Плата за занятия с репетиторами для подготовки к поступлению"
1336,"qh5123.5","Оцените Ваши затраты в рублях : Плата за занятия с репетиторами для подготовки к поступлению"
1337,"qh5113.6","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 3-го учащегося в учебное заведение? Другое"
1338,"qh51136s","Другие расходы к h5113.6; какие именно:"
1339,"qh5123.6","Оцените Ваши затраты в рублях: Другое"
1340,"qh511.4","0 - НЕ БЫЛО РАСХОДОВ; СВЯЗАННЫХ С ПОСТУПЛЕНИЕМ 4-ГО УЧАЩЕГОСЯ В УЧЕБНОЕ ЗАВЕДЕНИЕ"
1341,"qh5114.1","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 4-го учащегося в учебное заведение? Вступительный взнос; кот. требуется для поступления в это учебное заведение; в т.ч. в виде добров.пожертвов. или в неденежной форме"
1342,"qh5124.1","Оцените Ваши затраты в рублях: Вступительный взнос; кот. требуется для поступления в это учебное заведение; в т.ч. в виде добров.пожертвов. или в неденежной форме"
1343,"qh5114.2","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 4-го учащегося в учебное заведение? Плата за подготовительные курсы в том учебном заведении; в котором он/она учится."
1344,"qh5124.2","Оцените Ваши затраты в рублях: Плата за подготовительные курсы в том учебном заведении; в котором он/она учится"
1345,"qh5114.3","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 4-го учащегося в учебное заведение? Плата за подготовительные курсы при школе для подготовки к ЕГЭ."
1346,"qh5124.3","Оцените Ваши затраты в рублях: Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
1347,"qh5114.4","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 4-го учащегося в учебное заведение? Плата за подготовит.курсы в других учебных заведениях."
1348,"qh5124.4","Оцените Ваши затраты в рублях: Плата за подготовит.курсы в других учебных заведениях"
1349,"qh5114.5","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 4-го учащегося в учебное заведение? Плата за занятия с репетиторами для подготовки к поступлению"
1350,"qh5124.5","Оцените Ваши затраты в рублях: Плата за занятия с репетиторами для подготовки к поступлению"
1351,"qh5114.6","В последние 12 месяцев у Вашей семьи были расходы; связанные с поступлением 4-го учащегося в учебное заведение? Другое"
1352,"qh51146s","Другие расходы к h5114.6;какие именно:"
1353,"qh5124.6","Оцените Ваши затраты в рублях: Другое"
1354,"qh52.1.1","Как именно осуществлялись платежи в учебное заведение; в котором учится 1-й учащийся? На счет в банке или в бухгалтерию учебного заведения с выдачей документа об оплате"
1355,"qh52.1.2","Как именно осуществлялись платежи в учебное заведение; в котором учится 1-й учащийся? Какими-то товарами или материалами в учебное заведение; например; компьютер; шторы; краска; моющие средства и т.п."
1356,"qh52.1.3","Как именно осуществлялись платежи в учебное заведение; в котором учится 1-й учащийся? Просто в руки кому-то из сотрудников"
1357,"qh52.1.6","Как именно осуществлялись платежи в учебное заведение; в котором учится 1-й учащийся? Другое"
1358,"qh52.16s","Другое к h52.1.6; что именно:"
1359,"qh52.2.1","Как именно осуществлялись платежи в учебное заведение; в котором учится 2-й учащийся? На счет в банке или в бухгалтерию учебного заведения с выдачей документа об оплате"
1360,"qh52.2.2","Как именно осуществлялись платежи в учебное заведение; в котором учится 2-й учащийся? Какими-то товарами или материалами в учебное заведение; например; компьютер; шторы; краска; моющие средства и т.п."
1361,"qh52.2.3","Как именно осуществлялись платежи в учебное заведение; в котором учится 2-й учащийся? Просто в руки кому-то из сотрудников"
1362,"qh52.2.6","Как именно осуществлялись платежи в учебное заведение; в котором учится 2-й учащийся? Другое"
1363,"qh52.26s","Другое к h52.2.6; что именно:"
1364,"qh52.3.1","Как именно осуществлялись платежи в учебное заведение; в котором учится 3-й учащийся? На счет в банке или в бухгалтерию учебного заведения с выдачей документа об оплате"
1365,"qh52.3.2","Как именно осуществлялись платежи в учебное заведение; в котором учится 3-й учащийся? Какими-то товарами или материалами в учебное заведение; например; компьютер; шторы; краска; моющие средства и т.п."
1366,"qh52.3.3","Как именно осуществлялись платежи в учебное заведение; в котором учится 3-й учащийся? Просто в руки кому-то из сотрудников"
1367,"qh52.3.6","Как именно осуществлялись платежи в учебное заведение; в котором учится 3-й учащийся? Другое"
1368,"qh52.36s","Другое к h52.3.6; что именно:"
1369,"qh52.4.1","Как именно осуществлялись платежи в учебное заведение; в котором учится 4-й учащийся? На счет в банке или в бухгалтерию учебного заведения с выдачей документа об оплате"
1370,"qh52.4.2","Как именно осуществлялись платежи в учебное заведение; в котором учится 4-й учащийся? Какими-то товарами или материалами в учебное заведение; например; компьютер; шторы; краска; моющие средства и т.п."
1371,"qh52.4.3","Как именно осуществлялись платежи в учебное заведение; в котором учится 4-й учащийся? Просто в руки кому-то из сотрудников"
1372,"qh52.4.6","Как именно осуществлялись платежи в учебное заведение; в котором учится 4-й учащийся? Другое"
1373,"qh52.46s","Другое к h52.4.6; что именно:"
1374,"qh53.1","Ваша семья платила за учебники;  учебную и методич. литературу для 1-го учащегося в этом учебном году? Не учитывайте здесь расходы на канц.товары и прочее. Если да; то сколько Вы заплатили?"
1375,"qh53.2","Ваша семья платила за учебники;  учебную и методич. литературу для 2-го учащегося в этом учебном году? Не учитывайте здесь расходы на канц.товары и прочее. Если да; то сколько Вы заплатили?"
1376,"qh53.3","Ваша семья платила за учебники;  учебную и методич. литературу для 3-го учащегося в этом учебном году? Не учитывайте здесь расходы на канц.товары и прочее. Если да; то сколько Вы заплатили?"
1377,"qh53.4","Ваша семья платила за учебники;  учебную и методич. литературу для 4-го учащегося в этом учебном году? Не учитывайте здесь расходы на канц.товары и прочее. Если да; то сколько Вы заплатили?"
1378,"qh54.1","(Кроме денег на учебники);Ваша семья тратила что-нибудь на подготовку 1-го учащегося к текущему учебн.году:на канц.принадл.и вещи; необх.для учебн.процесса? Если да; то сколько Вы потратили на все это?"
1379,"qh54.2","(Кроме денег на учебники);Ваша семья тратила что-нибудь на подготовку 2-го учащегося к текущему учебн.году:на канц.принадл.и вещи; необх.для учебн.процесса? Если да; то сколько Вы потратили на все это?"
1380,"qh54.3","(Кроме денег на учебники);Ваша семья тратила что-нибудь на подготовку 3-го учащегося к текущему учебн.году:на канц.принадл.и вещи; необх.для учебн.процесса? Если да; то сколько Вы потратили на все это?"
1381,"qh54.4","(Кроме денег на учебники);Ваша семья тратила что-нибудь на подготовку 4-го учащегося к текущему учебн.году:на канц.принадл.и вещи; необх.для учебн.процесса? Если да; то сколько Вы потратили на все это?"
1382,"qh55.1","1-й учащийся учится в этом учебном заведении на бюджетном месте или на платном?"
1383,"qh55.2","2-й учащийся учится в этом учебном заведении на бюджетном месте или на платном?"
1384,"qh55.3","3-й учащийся учится в этом учебном заведении на бюджетном месте или на платном?"
1385,"qh55.4","4-й учащийся учится в этом учебном заведении на бюджетном месте или на платном?"
1386,"qh56.1","Ваша семья платит за обуч. 1-го учащегося по осн. программе в этом учебн.завед.на основании договора или любого др.офиц.документа?Не учитыв.здесь платежи за доп.занятия;добров.пожертвов.и взносы в помощь учебн.завед."
1387,"qh56.2","Ваша семья платит за обуч. 2-го учащегося по осн. программе в этом учебн.завед.на основании договора или любого др.офиц.документа?Не учитыв.здесь платежи за доп.занятия;добров.пожертвов.и взносы в помощь учебн.завед."
1388,"qh56.3","Ваша семья платит за обуч. 3-го учащегося по осн. программе в этом учебн.завед.на основании договора или любого др.офиц.документа?Не учитыв.здесь платежи за доп.занятия;добров.пожертвов.и взносы в помощь учебн.завед."
1389,"qh56.4","Ваша семья платит за обуч. 4-го учащегося по осн. программе в этом учебн.завед.на основании договора или любого др.офиц.документа?Не учитыв.здесь платежи за доп.занятия;добров.пожертвов.и взносы в помощь учебн.завед."
1390,"qh57.1","Сколько рублей в среднем за месяц обучения Вы платите? За 1-го учащегося:"
1391,"qh57.2","Сколько рублей в среднем за месяц обучения Вы платите? За 2-го учащегося:"
1392,"qh57.3","Сколько рублей в среднем за месяц обучения Вы платите? За 3-го учащегося:"
1393,"qh57.4","Сколько рублей в среднем за месяц обучения Вы платите? За 4-го учащегося:"
1394,"qh581.1","Ваша семья платит учебному заведению; в кот.учится 1-й учащийся за какие-нибудь дополнит.занятия для специализации; настоятельно рекомендуемые преподавателями учебного заведения?"
1395,"qh581.2","Ваша семья платит учебному заведению; в кот.учится 2-й учащийся за какие-нибудь дополнит.занятия для специализации; настоятельно рекомендуемые преподавателями учебного заведения?"
1396,"qh581.3","Ваша семья платит учебному заведению; в кот.учится 3-й учащийся за какие-нибудь дополнит.занятия для специализации; настоятельно рекомендуемые преподавателями учебного заведения?"
1397,"qh581.4","Ваша семья платит учебному заведению; в кот.учится 4-й учащийся за какие-нибудь дополнит.занятия для специализации; настоятельно рекомендуемые преподавателями учебного заведения?"
1398,"qh582.1","Сколько рублей в среднем Вы платите за месяц обучения? За 1-го учащегося:"
1399,"qh582.2","Сколько рублей в среднем Вы платите за месяц обучения? За 2-го учащегося:"
1400,"qh582.3","Сколько рублей в среднем Вы платите за месяц обучения? За 3-го учащегося:"
1401,"qh582.4","Сколько рублей в среднем Вы платите за месяц обучения? За 4-го учащегося:"
1402,"qh591.1","1-й учащийся посещает какие-нибудь еще дополнит.занятия; которые соответствуют профилю образования? Это могут быть занятия как в его учебном заведении; так и вне него."
1403,"qh591.2","2-й учащийся посещает какие-нибудь еще дополнит.занятия; которые соответствуют профилю образования? Это могут быть занятия как в его учебном заведении; так и вне него."
1404,"qh591.3","3-й учащийся посещает какие-нибудь еще дополнит.занятия; которые соответствуют профилю образования? Это могут быть занятия как в его учебном заведении; так и вне него."
1405,"qh591.4","4-й учащийся посещает какие-нибудь еще дополнит.занятия; которые соответствуют профилю образования? Это могут быть занятия как в его учебном заведении; так и вне него."
1406,"qh5921.1","Где именно 1-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В его учебном заведении"
1407,"qh5931.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? В его учебном заведении"
1408,"qh5921.2","Где именно 1-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В другой организации"
1409,"qh5931.2","Сколько рублей в среднем Вы платите за месяц  дополнительных занятий? В другой организации"
1410,"qh5921.3","Где именно 1-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? С частным преподавателем; репетитором"
1411,"qh5931.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? С частным преподавателем; репетитором"
1412,"qh5922.1","Где именно 2-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В его учебном заведении"
1413,"qh5932.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? В его учебном заведении"
1414,"qh5922.2","Где именно 2-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В другой организации"
1415,"qh5932.2","Сколько рублей в среднем Вы платите за месяц  дополнительных занятий? В другой организации"
1416,"qh5922.3","Где именно 2-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? С частным преподавателем; репетитором"
1417,"qh5932.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? С частным преподавателем; репетитором"
1418,"qh5923.1","Где именно 3-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В его учебном заведении"
1419,"qh5933.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? В его учебном заведении"
1420,"qh5923.2","Где именно 3-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В другой организации"
1421,"qh5933.2","Сколько рублей в среднем Вы платите за месяц  дополнительных занятий? В другой организации"
1422,"qh5923.3","Где именно 3-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? С частным преподавателем; репетитором"
1423,"qh5933.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? С частным преподавателем; репетитором"
1424,"qh5924.1","Где именно 4-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В его учебном заведении"
1425,"qh5934.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? В его учебном заведении"
1426,"qh5924.2","Где именно 4-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? В другой организации"
1427,"qh5934.2","Сколько рублей в среднем Вы платите за месяц  дополнительных занятий? В другой организации"
1428,"qh5924.3","Где именно 4-й учащийся посещает эти дополнительные занятия; которые соответствуют профилю его  образования? С частным преподавателем; репетитором"
1429,"qh5934.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий? С частным преподавателем; репетитором"
1430,"qh60.1","В текущем учебн.году Ваша семья регулярно или время от времени делает ден.взносы;пожертвов.в помощь учебн.завед.;кот.посещает 1-й уч-ся учащийся? Если да;то сколько руб.в среднем Вы платите за месяц обуч.?"
1431,"qh60.2","В текущем учебн.году Ваша семья регулярно или время от времени делает ден.взносы;пожертвов.в помощь учебн.завед.;кот.посещает 2-й уч-ся учащийся? Если да;то сколько руб.в среднем Вы платите за месяц обуч.?"
1432,"qh60.3","В текущем учебн.году Ваша семья регулярно или время от времени делает ден.взносы;пожертвов.в помощь учебн.завед.;кот.посещает 3-й уч-ся учащийся? Если да;то сколько руб.в среднем Вы платите за месяц обуч.?"
1433,"qh60.4","В текущем учебн.году Ваша семья регулярно или время от времени делает ден.взносы;пожертвов.в помощь учебн.завед.;кот.посещает 4-й уч-ся учащийся? Если да;то сколько руб.в среднем Вы платите за месяц обуч.?"
1434,"qh61.1","В текущем учебн.году Ваша семья регулярно или время от времени оказывает матер.помощь в неденежной форме учебному заведению; которое посещает 1-й уч-ся учащийся? Если да;то оцените в руб.размер этой помощи в ср.за месяц обуч.?"
1435,"qh61.2","В текущем учебн.году Ваша семья регулярно или время от времени оказывает матер.помощь в неденежной форме учебному заведению; которое посещает 2-й уч-ся учащийся? Если да;то оцените в руб.размер этой помощи в ср.за месяц обуч.?"
1436,"qh61.3","В текущем учебн.году Ваша семья регулярно или время от времени оказывает матер.помощь в неденежной форме учебному заведению; которое посещает 3-й уч-ся учащийся? Если да;то оцените в руб.размер этой помощи в ср.за месяц обуч.?"
1437,"qh61.4","В текущем учебн.году Ваша семья регулярно или время от времени оказывает матер.помощь в неденежной форме учебному заведению; которое посещает 4-й уч-ся учащийся? Если да;то оцените в руб.размер этой помощи в ср.за месяц обуч.?"
1438,"qh62.1","Где проживает 1-й учащийся?"
1439,"qh62.2","Где проживает 2-й учащийся?"
1440,"qh62.3","Где проживает 3-й учащийся?"
1441,"qh62.4","Где проживает 4-й учащийся?"
1442,"qh63.1","Сколько Ваша семья платит в среднем в месяц за проживание 1-го учащегося?"
1443,"qh63.2","Сколько Ваша семья платит в среднем в месяц за проживание 2-го учащегося?"
1444,"qh63.3","Сколько Ваша семья платит в среднем в месяц за проживание 3-го учащегося?"
1445,"qh63.4","Сколько Ваша семья платит в среднем в месяц за проживание 4-го учащегося?"
1446,"qh64.1","Ваша семья делает ден.и иные подарки преподав. и др.работникам учебн.заведения;кот.посещает 1-й учащийся; в т.ч. и за доброжелат.отнош. при выставл.оценок?Если да;то сколько руб.в средн.Вы тратите на это за месяц обуч.?"
1447,"qh64.2","Ваша семья делает ден.и иные подарки преподав. и др.работникам учебн.заведения;кот.посещает 2-й учащийся; в т.ч. и за доброжелат.отнош. при выставл.оценок?Если да;то сколько руб.в средн.Вы тратите на это за месяц обуч.?"
1448,"qh64.3","Ваша семья делает ден.и иные подарки преподав. и др.работникам учебн.заведения;кот.посещает 3-й учащийся; в т.ч. и за доброжелат.отнош. при выставл.оценок?Если да;то сколько руб.в средн.Вы тратите на это за месяц обуч.?"
1449,"qh64.4","Ваша семья делает ден.и иные подарки преподав. и др.работникам учебн.заведения;кот.посещает 4-й учащийся; в т.ч. и за доброжелат.отнош. при выставл.оценок?Если да;то сколько руб.в средн.Вы тратите на это за месяц обуч.?"
1450,"qh65.1","Ваша семья платит кому-нибудь за помощь 1-му учащемуся  в выполнении дом. заданий; подготовке письменных; лаборат. или курсовых работ? Если да; то сколько рублей в среднем Вы платите за эту помощь за месяц обучения?"
1451,"qh65.2","Ваша семья платит кому-нибудь за помощь 2-му учащемуся  в выполнении дом. заданий; подготовке письменных; лаборат. или курсовых работ? Если да; то сколько рублей в среднем Вы платите за эту помощь за месяц обучения?"
1452,"qh65.3","Ваша семья платит кому-нибудь за помощь 3-му учащемуся  в выполнении дом. заданий; подготовке письменных; лаборат. или курсовых работ? Если да; то сколько рублей в среднем Вы платите за эту помощь за месяц обучения?"
1453,"qh65.4","Ваша семья платит кому-нибудь за помощь 4-му учащемуся  в выполнении дом. заданий; подготовке письменных; лаборат. или курсовых работ? Если да; то сколько рублей в среднем Вы платите за эту помощь за месяц обучения?"
1454,"qh66.1a","У Вашей семьи были еще какие-то расходы; связанные с обучением 1-го учащегося в профессиональном учебном заведении; которые мы не учли? Если да; то укажите; что это за расходы."
1455,"qh66.1b","Сколько рублей в среднем за  месяц обучения составляют эти расходы на 1-го учащегося?"
1456,"qh66.1c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ; СВЯЗАННЫХ С ОБУЧЕНИЕМ 1-ГО УЧАЩЕГОСЯ В ПРОФЕССИОНАЛЬНОМ УЧЕБНОМ ЗАВЕДЕНИИ"
1457,"qh66.2a","У Вашей семьи были еще какие-то расходы; связанные с обучением 2-го учащегося в профессиональном учебном заведении; которые мы не учли? Если да; то укажите; что это за расходы."
1458,"qh66.2b","Сколько рублей в среднем за  месяц обучения составляют эти расходы на 2-го учащегося?"
1459,"qh66.2c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ; СВЯЗАННЫХ С ОБУЧЕНИЕМ 2-ГО УЧАЩЕГОСЯ В ПРОФЕССИОНАЛЬНОМ УЧЕБНОМ ЗАВЕДЕНИИ"
1460,"qh66.3a","У Вашей семьи были еще какие-то расходы; связанные с обучением 3-го учащегося в профессиональном учебном заведении; которые мы не учли? Если да; то укажите; что это за расходы."
1461,"qh66.3b","Сколько рублей в среднем за  месяц обучения составляют эти расходы на 3-го учащегося?"
1462,"qh66.3c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ; СВЯЗАННЫХ С ОБУЧЕНИЕМ 3-ГО УЧАЩЕГОСЯ В ПРОФЕССИОНАЛЬНОМ УЧЕБНОМ ЗАВЕДЕНИИ"
1463,"qh66.4a","У Вашей семьи были еще какие-то расходы; связанные с обучением 4-го учащегося в профессиональном учебном заведении; которые мы не учли? Если да; то укажите; что это за расходы."
1464,"qh66.4b","Сколько рублей в среднем за  месяц обучения составляют эти расходы на 4-го учащегося?"
1465,"qh66.4c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ; СВЯЗАННЫХ С ОБУЧЕНИЕМ 4-ГО УЧАЩЕГОСЯ В ПРОФЕССИОНАЛЬНОМ УЧЕБНОМ ЗАВЕДЕНИИ"
1466,"qh67","Кто-то из членов Вашей семьи в последние 12 месяцев готовился к поступлению в профессиональное учебное заведение; но по каким-то причинам не поступил или не начал обучение?"
1467,"qh68.1b","Номер 1-го не поступившего в проф.учебное заведение в карточке домохозяйства"
1468,"qh68.2b","Номер 2-го не поступившего в проф.учебное заведение в карточке домохозяйства"
1469,"qh68.3b","Номер 3-го не поступившего в проф.учебное заведение в карточке домохозяйства"
1470,"qh68.1c","Куда готовился поступать? 1-й не поступивший:"
1471,"qh68.2c","Куда готовился поступать? 2-й не поступивший:"
1472,"qh68.3c","Куда готовился поступать? 3-й не поступивший:"
1473,"qh691.1","0 - НЕ БЫЛО РАСХОДОВ; СВЯЗАННЫХ С ПОДГОТОВКОЙ К ПОСТУПЛЕНИЮ 1-ГО НЕ ПОСТУПИВШЕГО В ПРОФЕССИОН.УЧЕБНОЕ ЗАВЕДЕНИЕ"
1474,"qh6911.1","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 1-го не поступившего в профессион.учебное заведение? Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
1475,"qh6921.1","Оцените Ваши затраты в рублях: Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
1476,"qh6911.2","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 1-го не поступившего в профессион.учебное заведение? Плата за подготовительные курсы в учебном заведении; в которое поступал"
1477,"qh6921.2","Оцените Ваши затраты в рублях: Плата за подготовительные курсы в учебном заведении; в которое поступал"
1478,"qh6911.3","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 1-го не поступившего в профессион.учебное заведение? Плата за подготовительные курсы в других учебных заведениях"
1479,"qh6921.3","Оцените Ваши затраты в рублях: Плата за подготовительные курсы в других учебных заведениях"
1480,"qh6911.4","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 1-го не поступившего в профессион.учебное заведение? Плата за занятия с репетиторами для подготовки к поступлению"
1481,"qh6921.4","Оцените Ваши затраты в рублях: Плата за занятия с репетиторами для подготовки к поступлению"
1482,"qh6911.6","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 1-го не поступившего в профессион.учебное заведение? Другое"
1483,"qh69116s","Другое; что именно к h6911.6:"
1484,"qh6921.6","Оцените Ваши затраты в рублях: Другое"
1485,"qh691.2","0 - НЕ БЫЛО РАСХОДОВ; СВЯЗАННЫХ С ПОДГОТОВКОЙ К ПОСТУПЛЕНИЮ 2-ГО НЕ ПОСТУПИВШЕГО В ПРОФЕССИОН.УЧЕБНОЕ ЗАВЕДЕНИЕ"
1486,"qh6912.1","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 2-го не поступившего в профессион.учебное заведение? Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
1487,"qh6922.1","Оцените Ваши затраты в рублях: Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
1488,"qh6912.2","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 2-го не поступившего в профессион.учебное заведение? Плата за подготовительные курсы в учебном заведении; в которое поступал"
1489,"qh6922.2","Оцените Ваши затраты в рублях: Плата за подготовительные курсы в учебном заведении; в которое поступал"
1490,"qh6912.3","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 2-го не поступившего в профессион.учебное заведение? Плата за подготовительные курсы в других учебных заведениях"
1491,"qh6922.3","Оцените Ваши затраты в рублях: Плата за подготовительные курсы в других учебных заведениях"
1492,"qh6912.4","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 2-го не поступившего в профессион.учебное заведение? Плата за занятия с репетиторами для подготовки к поступлению"
1493,"qh6922.4","Оцените Ваши затраты в рублях: Плата за занятия с репетиторами для подготовки к поступлению"
1494,"qh6912.6","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 2-го не поступившего в профессион.учебное заведение? Другое"
1495,"qh69126s","Другое; что именно к h6911.6:"
1496,"qh6922.6","Оцените Ваши затраты в рублях: Другое"
1497,"qh691.3","0 - НЕ БЫЛО РАСХОДОВ; СВЯЗАННЫХ С ПОДГОТОВКОЙ К ПОСТУПЛЕНИЮ 3-ГО НЕ ПОСТУПИВШЕГО В ПРОФЕССИОН.УЧЕБНОЕ ЗАВЕДЕНИЕ"
1498,"qh6913.1","В последние 12 месяцев у Вашей семьи были расходы; связанные с подготовкой к поступлению 3-го не поступившего в профессион.учебное заведение? Плата за подготовительные курсы при школе для подготовки к ЕГЭ"
